datetime,respondent_code,respondent_name,demand_value,units
2024-10-30 17:00:00,NE,New England,10950.0,megawatthours
2024-10-30 17:00:00,NE,New England,11508.0,megawatthours
2024-10-30 18:00:00,NE,New England,-785.0,megawatthours
2024-10-30 18:00:00,NE,New England,10729.0,megawatthours
2024-10-30 18:00:00,NE,New England,11000.0,megawatthours
2024-10-30 18:00:00,NE,New England,11514.0,megawatthours
2024-10-30 19:00:00,NE,New England,11758.0,megawatthours
2024-10-30 19:00:00,NE,New England,-683.0,megawatthours
2024-10-30 19:00:00,NE,New England,11075.0,megawatthours
2024-10-30 19:00:00,NE,New England,11330.0,megawatthours
2024-10-30 20:00:00,NE,New England,11528.0,megawatthours
2024-10-30 20:00:00,NE,New England,12198.0,megawatthours
2024-10-30 20:00:00,NE,New England,-670.0,megawatthours
2024-10-30 20:00:00,NE,New England,11980.0,megawatthours
2024-10-30 21:00:00,NE,New England,-872.0,megawatthours
2024-10-30 21:00:00,NE,New England,12174.0,megawatthours
2024-10-30 21:00:00,NE,New England,12990.0,megawatthours
2024-10-30 21:00:00,NE,New England,13046.0,megawatthours
2024-10-30 22:00:00,NE,New England,-1145.0,megawatthours
2024-10-30 22:00:00,NE,New England,12782.0,megawatthours
2024-10-30 22:00:00,NE,New England,13910.0,megawatthours
2024-10-30 22:00:00,NE,New England,13927.0,megawatthours
2024-10-30 23:00:00,NE,New England,14400.0,megawatthours
2024-10-30 23:00:00,NE,New England,14297.0,megawatthours
2024-10-30 23:00:00,NE,New England,-1013.0,megawatthours
2024-10-30 23:00:00,NE,New England,13284.0,megawatthours
2024-10-31 00:00:00,NE,New England,12706.0,megawatthours
2024-10-31 00:00:00,NE,New England,14070.0,megawatthours
2024-10-31 00:00:00,NE,New England,13953.0,megawatthours
2024-10-31 00:00:00,NE,New England,-1247.0,megawatthours
2024-10-31 01:00:00,NE,New England,-1305.0,megawatthours
2024-10-31 01:00:00,NE,New England,12084.0,megawatthours
2024-10-31 01:00:00,NE,New England,13430.0,megawatthours
2024-10-31 01:00:00,NE,New England,13389.0,megawatthours
2024-10-31 02:00:00,NE,New England,-1494.0,megawatthours
2024-10-31 02:00:00,NE,New England,11099.0,megawatthours
2024-10-31 02:00:00,NE,New England,12560.0,megawatthours
2024-10-31 02:00:00,NE,New England,12593.0,megawatthours
2024-10-31 03:00:00,NE,New England,11670.0,megawatthours
2024-10-31 03:00:00,NE,New England,10408.0,megawatthours
2024-10-31 03:00:00,NE,New England,-1262.0,megawatthours
2024-10-31 03:00:00,NE,New England,11520.0,megawatthours
2024-10-31 04:00:00,NE,New England,-1403.0,megawatthours
2024-10-31 04:00:00,NE,New England,9573.0,megawatthours
2024-10-31 04:00:00,NE,New England,10600.0,megawatthours
2024-10-31 04:00:00,NE,New England,10976.0,megawatthours
2024-10-31 05:00:00,NE,New England,-1261.0,megawatthours
2024-10-31 05:00:00,NE,New England,9525.0,megawatthours
2024-10-31 05:00:00,NE,New England,10040.0,megawatthours
2024-10-31 05:00:00,NE,New England,10786.0,megawatthours
2024-10-31 06:00:00,NE,New England,-891.0,megawatthours
2024-10-31 06:00:00,NE,New England,9798.0,megawatthours
2024-10-31 06:00:00,NE,New England,9630.0,megawatthours
2024-10-31 06:00:00,NE,New England,10689.0,megawatthours
2024-10-31 07:00:00,NE,New England,10305.0,megawatthours
2024-10-31 07:00:00,NE,New England,-798.0,megawatthours
2024-10-31 07:00:00,NE,New England,9507.0,megawatthours
2024-10-31 07:00:00,NE,New England,9390.0,megawatthours
2024-10-31 08:00:00,NE,New England,-780.0,megawatthours
2024-10-31 08:00:00,NE,New England,9461.0,megawatthours
2024-10-31 08:00:00,NE,New England,9350.0,megawatthours
2024-10-31 08:00:00,NE,New England,10241.0,megawatthours
2024-10-31 09:00:00,NE,New England,-742.0,megawatthours
2024-10-31 09:00:00,NE,New England,9731.0,megawatthours
2024-10-31 09:00:00,NE,New England,9590.0,megawatthours
2024-10-31 09:00:00,NE,New England,10473.0,megawatthours
2024-10-31 10:00:00,NE,New England,10783.0,megawatthours
2024-10-31 10:00:00,NE,New England,9787.0,megawatthours
2024-10-31 10:00:00,NE,New England,-996.0,megawatthours
2024-10-31 10:00:00,NE,New England,10380.0,megawatthours
2024-10-31 11:00:00,NE,New England,-1467.0,megawatthours
2024-10-31 11:00:00,NE,New England,10337.0,megawatthours
2024-10-31 11:00:00,NE,New England,11820.0,megawatthours
2024-10-31 11:00:00,NE,New England,11804.0,megawatthours
2024-10-31 12:00:00,NE,New England,-1553.0,megawatthours
2024-10-31 12:00:00,NE,New England,11112.0,megawatthours
2024-10-31 12:00:00,NE,New England,12680.0,megawatthours
2024-10-31 12:00:00,NE,New England,12665.0,megawatthours
2024-10-31 13:00:00,NE,New England,-1293.0,megawatthours
2024-10-31 13:00:00,NE,New England,11077.0,megawatthours
2024-10-31 13:00:00,NE,New England,12350.0,megawatthours
2024-10-31 13:00:00,NE,New England,12370.0,megawatthours
2024-10-31 14:00:00,NE,New England,11631.0,megawatthours
2024-10-31 14:00:00,NE,New England,-1328.0,megawatthours
2024-10-31 14:00:00,NE,New England,10303.0,megawatthours
2024-10-31 14:00:00,NE,New England,11340.0,megawatthours
2024-10-31 15:00:00,NE,New England,-824.0,megawatthours
2024-10-31 15:00:00,NE,New England,10232.0,megawatthours
2024-10-31 15:00:00,NE,New England,10590.0,megawatthours
2024-10-31 15:00:00,NE,New England,11056.0,megawatthours
2024-10-31 16:00:00,NE,New England,-187.0,megawatthours
2024-10-31 16:00:00,NE,New England,10477.0,megawatthours
2024-10-31 16:00:00,NE,New England,10320.0,megawatthours
2024-10-31 16:00:00,NE,New England,10664.0,megawatthours
2024-10-31 17:00:00,NE,New England,10260.0,megawatthours
2024-10-31 17:00:00,NE,New England,10388.0,megawatthours
2024-10-31 17:00:00,NE,New England,175.0,megawatthours
2024-10-31 17:00:00,NE,New England,10563.0,megawatthours
2024-10-31 18:00:00,NE,New England,-55.0,megawatthours
2024-10-31 18:00:00,NE,New England,10597.0,megawatthours
2024-10-31 18:00:00,NE,New England,10870.0,megawatthours
2024-10-31 18:00:00,NE,New England,10652.0,megawatthours
2024-10-31 19:00:00,NE,New England,-435.0,megawatthours
