date,region,type_name,sum,mean,min,max
2024-09-08T21,MISO,Nuclear,11654.0,11654.0,11654.0,11654.0
2024-09-08T21,MISO,Solar,6526.0,6526.0,6526.0,6526.0
2024-09-08T21,MISO,Wind,6694.0,6694.0,6694.0,6694.0
2024-09-08T21,PJM,Coal,7111.0,7111.0,7111.0,7111.0
2024-09-08T21,PJM,Hydro,2009.0,2009.0,2009.0,2009.0
2024-09-08T21,PJM,Natural Gas,37988.0,37988.0,37988.0,37988.0
2024-09-08T21,PJM,Nuclear,32456.0,32456.0,32456.0,32456.0
2024-09-08T21,PJM,Solar,5717.0,5717.0,5717.0,5717.0
2024-09-08T21,PJM,Wind,1299.0,1299.0,1299.0,1299.0
2024-09-08T22,MISO,Coal,15303.0,15303.0,15303.0,15303.0
2024-09-08T22,MISO,Hydro,2167.0,2167.0,2167.0,2167.0
2024-09-08T22,MISO,Natural Gas,25147.0,25147.0,25147.0,25147.0
2024-09-08T22,MISO,Nuclear,11649.0,11649.0,11649.0,11649.0
2024-09-08T22,MISO,Solar,5980.0,5980.0,5980.0,5980.0
2024-09-08T22,MISO,Wind,6484.0,6484.0,6484.0,6484.0
2024-09-08T22,PJM,Coal,7205.0,7205.0,7205.0,7205.0
2024-09-08T22,PJM,Hydro,3666.0,3666.0,3666.0,3666.0
2024-09-08T22,PJM,Natural Gas,40828.0,40828.0,40828.0,40828.0
2024-09-08T22,PJM,Nuclear,32410.0,32410.0,32410.0,32410.0
2024-09-08T22,PJM,Solar,2307.0,2307.0,2307.0,2307.0
2024-09-08T22,PJM,Wind,1116.0,1116.0,1116.0,1116.0
2024-09-08T23,MISO,Coal,17188.0,17188.0,17188.0,17188.0
2024-09-08T23,MISO,Hydro,2718.0,2718.0,2718.0,2718.0
2024-09-08T23,MISO,Natural Gas,26913.0,26913.0,26913.0,26913.0
2024-09-08T23,MISO,Nuclear,11646.0,11646.0,11646.0,11646.0
2024-09-08T23,MISO,Solar,4411.0,4411.0,4411.0,4411.0
2024-09-08T23,MISO,Wind,5807.0,5807.0,5807.0,5807.0
2024-09-08T23,PJM,Coal,7725.0,7725.0,7725.0,7725.0
2024-09-08T23,PJM,Hydro,4717.0,4717.0,4717.0,4717.0
2024-09-08T23,PJM,Natural Gas,42879.0,42879.0,42879.0,42879.0
2024-09-08T23,PJM,Nuclear,32261.0,32261.0,32261.0,32261.0
2024-09-08T23,PJM,Solar,141.0,141.0,141.0,141.0
2024-09-08T23,PJM,Wind,1008.0,1008.0,1008.0,1008.0
2024-09-09T00,MISO,Coal,19968.0,19968.0,19968.0,19968.0
2024-09-09T00,MISO,Hydro,2733.0,2733.0,2733.0,2733.0
2024-09-09T00,MISO,Natural Gas,27610.0,27610.0,27610.0,27610.0
2024-09-09T00,MISO,Nuclear,11643.0,11643.0,11643.0,11643.0
2024-09-09T00,MISO,Solar,1699.0,1699.0,1699.0,1699.0
2024-09-09T00,MISO,Wind,4909.0,4909.0,4909.0,4909.0
2024-09-09T00,PJM,Coal,8409.0,8409.0,8409.0,8409.0
2024-09-09T00,PJM,Hydro,4292.0,4292.0,4292.0,4292.0
2024-09-09T00,PJM,Natural Gas,44414.0,44414.0,44414.0,44414.0
2024-09-09T00,PJM,Nuclear,31880.0,31880.0,31880.0,31880.0
2024-09-09T00,PJM,Wind,1136.0,1136.0,1136.0,1136.0
2024-09-09T01,MISO,Coal,20587.0,20587.0,20587.0,20587.0
2024-09-09T01,MISO,Hydro,2434.0,2434.0,2434.0,2434.0
2024-09-09T01,MISO,Natural Gas,27392.0,27392.0,27392.0,27392.0
2024-09-09T01,MISO,Nuclear,11646.0,11646.0,11646.0,11646.0
2024-09-09T01,MISO,Solar,56.0,56.0,56.0,56.0
2024-09-09T01,MISO,Wind,6184.0,6184.0,6184.0,6184.0
2024-09-09T01,PJM,Coal,7727.0,7727.0,7727.0,7727.0
2024-09-09T01,PJM,Hydro,1569.0,1569.0,1569.0,1569.0
2024-09-09T01,PJM,Natural Gas,43008.0,43008.0,43008.0,43008.0
2024-09-09T01,PJM,Nuclear,31496.0,31496.0,31496.0,31496.0
